"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1367812489736450054","https://twitter.com/paulapivat/status/1367812489736450054","@nicholasjkurian Very cool, is this part of an education initiative? you’ve inspired an atomic essay topic for me, will share soon!","2021-03-05 12:21 +0000","70.0","2.0","0.02857142857142857","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367811886658383883","https://twitter.com/paulapivat/status/1367811886658383883","@nicholasjkurian Thank you Nicholas! I didn’t expect food to be a theme for me, but come to think of it.....I do enjoy food a lot 😋I might have  some data to make a case for why pad thai shouldn’t be the national dish lol","2021-03-05 12:19 +0000","38.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367810239152623616","https://twitter.com/paulapivat/status/1367810239152623616","@schmaynes 20 miles is no joke!","2021-03-05 12:12 +0000","25.0","3.0","0.12","0.0","1.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367809498581061632","https://twitter.com/paulapivat/status/1367809498581061632","@Gift_Tanakan @CodeNewbies Really cool way to build in public here!","2021-03-05 12:09 +0000","36.0","5.0","0.1388888888888889","0.0","1.0","2.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367756654800871425","https://twitter.com/paulapivat/status/1367756654800871425","Day 59:

Is meditation for you? 🧘

#ship30for30 

https://t.co/GlV87aeMV1","2021-03-05 08:39 +0000","135.0","3.0","0.022222222222222223","0.0","1.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367756435891777539","https://twitter.com/paulapivat/status/1367756435891777539","Thanks to @KristinaNette for the prompt and inspiration for this essay.

also cc: my accountability partner @jessedee","2021-03-05 08:38 +0000","94.0","9.0","0.09574468085106383","0.0","1.0","1.0","2.0","0.0","0.0","4.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367756202709381121","https://twitter.com/paulapivat/status/1367756202709381121","Is meditation for you?

There are several ways to find out.

But one way stands out above the rest👇 https://t.co/XPcYjac6Vw","2021-03-05 08:37 +0000","291.0","17.0","0.058419243986254296","1.0","1.0","1.0","1.0","0.0","0.0","3.0","0.0","0","0","0","0","0","10","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367493244100165632","https://twitter.com/paulapivat/status/1367493244100165632","@austinschless Kinda growin on me lol","2021-03-04 15:12 +0000","30.0","2.0","0.06666666666666667","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367454965770293249","https://twitter.com/paulapivat/status/1367454965770293249","My accountability partner @j8son_ also killin it, check out his progress:

https://t.co/fmjrbDsxs0","2021-03-04 12:40 +0000","117.0","5.0","0.042735042735042736","0.0","1.0","2.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367454655609925634","https://twitter.com/paulapivat/status/1367454655609925634","Day 4/

4 Burpees
6 Air squats
8 Sit-ups 
(20 sets in 19:38) - actually felt slightly easier than day 1

2 mile run
1 mile walk https://t.co/lgZ83nd0qO","2021-03-04 12:39 +0000","252.0","17.0","0.06746031746031746","0.0","4.0","2.0","0.0","0.0","0.0","10.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367408543058436098","https://twitter.com/paulapivat/status/1367408543058436098","@suthep67 Thank you so much 🙏","2021-03-04 09:36 +0000","37.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367408463270219783","https://twitter.com/paulapivat/status/1367408463270219783","@theJomapi Ooh, great question, my go-to would be Kua Gai คั่วไก่

especially if the noodles a bit burnt and sticking to the wok. 

There are variations of this, hidden gems in hole-in-the-wall type places. https://t.co/NzC6moVoav","2021-03-04 09:35 +0000","68.0","11.0","0.16176470588235295","0.0","2.0","3.0","0.0","0.0","0.0","3.0","0.0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367377101205106688","https://twitter.com/paulapivat/status/1367377101205106688","@sscotty Thank you Steve, I appreciate you🙏","2021-03-04 07:31 +0000","40.0","6.0","0.15","0.0","0.0","1.0","0.0","0.0","0.0","4.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367372896046260227","https://twitter.com/paulapivat/status/1367372896046260227","@laurenancona I just re-read Meadow’s “Leverage Points in the System”. So much wisdom dripping out of those pages.","2021-03-04 07:14 +0000","180.0","5.0","0.027777777777777776","0.0","1.0","2.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367368948451143680","https://twitter.com/paulapivat/status/1367368948451143680","@cburniske @Viriav good advice here","2021-03-04 06:58 +0000","162.0","2.0","0.012345679012345678","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367368593118093312","https://twitter.com/paulapivat/status/1367368593118093312","@sscotty I listened on my lunch break. It was quite moving. Great job with this new format!","2021-03-04 06:57 +0000","117.0","6.0","0.05128205128205128","0.0","1.0","1.0","1.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367367047101837313","https://twitter.com/paulapivat/status/1367367047101837313","@RahilBelim7 @Binal_BP @jaimedatalatte @KenJee_DS @mt0rm0 @ShrutiJ87241031 @lepeter93 @JackRaifer @dataQueen_pend @datasciencejay @ggojedap Great idea! I should clean up my folders, too","2021-03-04 06:51 +0000","70.0","2.0","0.02857142857142857","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
